Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-09T00:00:00Z
temperature,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-09T00:00:00Z
density,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-09T00:00:00Z
ctdmo_seawater_temperature,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-09T00:00:00Z
pressure_temp,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-09T00:00:00Z
inductive_id,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,lori,2017-05-09T00:00:00Z
inductive_id,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-09T00:00:00Z
ctdmo_seawater_pressure,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,2017-05-09T00:00:00Z
ctdmo_seawater_pressure,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-09T00:00:00Z
pressure,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-09T00:00:00Z
ctdmo_seawater_conductivity,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-09T00:00:00Z
conductivity,D00001,2014-09-10T18:52:31Z,2015-08-22T10:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-09T00:00:00Z
